Localização,Inventário,Denominação do Imobilizado,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
1.06 VILA LEOPOLDINA,256437,BANCADA PARA AJUSTADOR,BANCADA DE TRABALHO,40.9%,1972-08-31 00:00:00,AVALIAR: Similaridade moderada (40.9%) com consumível 'BANCADA DE TRABALHO...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,256449,BANCADA PARA AJUSTADOR,BANCADA DE TRABALHO,40.9%,1972-08-31 00:00:00,AVALIAR: Similaridade moderada (40.9%) com consumível 'BANCADA DE TRABALHO...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,376575,BANCADA C/TAMPO DE PEROBA ASTRO,TAMPO DE MDF PARA BANCADA,43.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (43.0%) com consumível 'TAMPO DE MDF PARA BANCADA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,377068,BANCADA DE AJUSTADOR DC 761,BANCADA DE ARDÓSIA M²,36.6%,1980-08-31 00:00:00,MANTER: Baixa similaridade (36.6%) com consumível 'BANCADA DE ARDÓSIA M²...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,256440,BANCADA PARA AJUSTADOR,BANCADA DE TRABALHO,40.9%,1972-08-31 00:00:00,AVALIAR: Similaridade moderada (40.9%) com consumível 'BANCADA DE TRABALHO...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,256451,BANCADA PARA AJUSTADOR,BANCADA DE TRABALHO,40.9%,1972-08-31 00:00:00,AVALIAR: Similaridade moderada (40.9%) com consumível 'BANCADA DE TRABALHO...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,376566,BANCADA C/TAMPO DE PEROBA ASTRO,TAMPO DE MDF PARA BANCADA,43.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (43.0%) com consumível 'TAMPO DE MDF PARA BANCADA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,376571,BANCADA C/TAMPO DE PEROBA ASTRO,TAMPO DE MDF PARA BANCADA,43.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (43.0%) com consumível 'TAMPO DE MDF PARA BANCADA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,376573,BANCADA C/TAMPO DE PEROBA ASTRO,TAMPO DE MDF PARA BANCADA,43.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (43.0%) com consumível 'TAMPO DE MDF PARA BANCADA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,376574,BANCADA C/TAMPO DE PEROBA ASTRO,TAMPO DE MDF PARA BANCADA,43.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (43.0%) com consumível 'TAMPO DE MDF PARA BANCADA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,316461,BANCADA SERRALHEIRO C/PAINEL DC-831,BANCADA DE SERRALHEIRO DC-1815,51.1%,1977-03-31 00:00:00,AVALIAR: Similaridade moderada (51.1%) com consumível 'BANCADA DE SERRALHEIRO DC-1815...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,341495,BANCADA SERRALHEIRO 2 LUG.DC-831,BANCADA DE SERRALHEIRO DC-1815,52.2%,1979-10-31 00:00:00,AVALIAR: Similaridade moderada (52.2%) com consumível 'BANCADA DE SERRALHEIRO DC-1815...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,376569,BANCADA C/TAMPO DE PEROBA ASTRO,TAMPO DE MDF PARA BANCADA,43.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (43.0%) com consumível 'TAMPO DE MDF PARA BANCADA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,376576,BANCADA C/TAMPO DE PEROBA ASTRO,TAMPO DE MDF PARA BANCADA,43.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (43.0%) com consumível 'TAMPO DE MDF PARA BANCADA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,376567,BANCADA C/TAMPO DE PEROBA ASTRO,TAMPO DE MDF PARA BANCADA,43.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (43.0%) com consumível 'TAMPO DE MDF PARA BANCADA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,376568,BANCADA C/TAMPO DE PEROBA ASTRO,TAMPO DE MDF PARA BANCADA,43.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (43.0%) com consumível 'TAMPO DE MDF PARA BANCADA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,376570,BANCADA C/TAMPO DE PEROBA ASTRO,TAMPO DE MDF PARA BANCADA,43.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (43.0%) com consumível 'TAMPO DE MDF PARA BANCADA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,376572,BANCADA C/TAMPO DE PEROBA ASTRO,TAMPO DE MDF PARA BANCADA,43.0%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (43.0%) com consumível 'TAMPO DE MDF PARA BANCADA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,317501,REGISTRADOR OFICIO P/CLASSIF.A-Z ASTRO,REGISTRADOR DE TEMPERATURA E UMIDADE,27.1%,1977-05-31 00:00:00,MANTER: Similaridade muito baixa (27.1%). Mantém como patrimônio.
1.06 VILA LEOPOLDINA,516027,PORTA MOCHILA ESTANTE DE ACO SECURIT 5F,PORTA FERRAMENTA DE AÇO GHGL 20-3,35.8%,1989-09-30 00:00:00,MANTER: Baixa similaridade (35.8%) com consumível 'PORTA FERRAMENTA DE AÇO GHGL 20-3...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,375074,MESA EM L 4 GAV.FLORENSE,MESA EM ARDÓSIA,34.4%,1980-07-31 00:00:00,MANTER: Baixa similaridade (34.4%) com consumível 'MESA EM ARDÓSIA...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,407595,ESCADA DE 5 DEGRAUS,ESCADA ALUMINIO 5 DEGRAUS,69.8%,1980-08-31 00:00:00,RECLASSIFICAR: Alta similaridade (69.8%) com consumível 'ESCADA ALUMINIO 5 DEGRAUS...'. Forte indicação de má classificação.
1.06 VILA LEOPOLDINA,642473,ARMARIO PRAT 890X500X1100MM SONIA,ARMÁRIO BAIXO ÁRTICO PRAT 18MM DC-1648,31.9%,1998-06-30 00:00:00,MANTER: Baixa similaridade (31.9%) com consumível 'ARMÁRIO BAIXO ÁRTICO PRAT 18MM DC-1648...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,594928,ARMARIO COM PRATELEIRAS FIEL,ARMÁRIO COM NICHOS,35.8%,1994-01-31 00:00:00,MANTER: Baixa similaridade (35.8%) com consumível 'ARMÁRIO COM NICHOS...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,642474,ARMARIO PRAT 890X500X1100MM SONIA,ARMÁRIO BAIXO ÁRTICO PRAT 18MM DC-1648,31.9%,1998-06-30 00:00:00,MANTER: Baixa similaridade (31.9%) com consumível 'ARMÁRIO BAIXO ÁRTICO PRAT 18MM DC-1648...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,643556,"MESA 1,20X0,73X0,74CM MA120 PROJETO",MESA EM ARDÓSIA,22.0%,1998-07-31 00:00:00,MANTER: Similaridade muito baixa (22.0%). Mantém como patrimônio.
1.06 VILA LEOPOLDINA,377039,ARMARIO PARA FRESADORA DC 806,ARMÁRIO PARA IMPRESSORAS - SEDE,35.7%,1980-08-31 00:00:00,MANTER: Baixa similaridade (35.7%) com consumível 'ARMÁRIO PARA IMPRESSORAS - SEDE...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,170255,MESA PARA MAQUINA DE FURAR,ESTRUTURA METÁLICA P/MÁQUINA DE FURAR,49.0%,1967-12-31 00:00:00,AVALIAR: Similaridade moderada (49.0%) com consumível 'ESTRUTURA METÁLICA P/MÁQUINA DE FURAR...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,170256,MESA PARA MAQUINA DE FURAR,ESTRUTURA METÁLICA P/MÁQUINA DE FURAR,49.0%,1967-12-31 00:00:00,AVALIAR: Similaridade moderada (49.0%) com consumível 'ESTRUTURA METÁLICA P/MÁQUINA DE FURAR...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,256431,BANCADA PARA AJUSTADOR,BANCADA DE TRABALHO,40.9%,1972-08-31 00:00:00,AVALIAR: Similaridade moderada (40.9%) com consumível 'BANCADA DE TRABALHO...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,256446,BANCADA PARA AJUSTADOR,BANCADA DE TRABALHO,40.9%,1972-08-31 00:00:00,AVALIAR: Similaridade moderada (40.9%) com consumível 'BANCADA DE TRABALHO...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,376984,MESA PARA DESEMPENO DC 678,MESA PARA MODELAGEM DC-1629,35.5%,1980-08-31 00:00:00,MANTER: Baixa similaridade (35.5%) com consumível 'MESA PARA MODELAGEM DC-1629...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,377023,BANCADA P/AJUSTADOR DC 761,BANCADA DE ARDÓSIA M²,34.5%,1980-08-31 00:00:00,MANTER: Baixa similaridade (34.5%) com consumível 'BANCADA DE ARDÓSIA M²...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,377027,BANCADA P/AJUSTADOR DC 761,BANCADA DE ARDÓSIA M²,34.5%,1980-08-31 00:00:00,MANTER: Baixa similaridade (34.5%) com consumível 'BANCADA DE ARDÓSIA M²...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,377033,BANCADA P/AJUSTADOR DC 761,BANCADA DE ARDÓSIA M²,34.5%,1980-08-31 00:00:00,MANTER: Baixa similaridade (34.5%) com consumível 'BANCADA DE ARDÓSIA M²...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,377034,BANCADA P/AJUSTADOR DC 761,BANCADA DE ARDÓSIA M²,34.5%,1980-08-31 00:00:00,MANTER: Baixa similaridade (34.5%) com consumível 'BANCADA DE ARDÓSIA M²...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,377069,BANCADA DE AJUSTADOR DC 761,BANCADA DE ARDÓSIA M²,36.6%,1980-08-31 00:00:00,MANTER: Baixa similaridade (36.6%) com consumível 'BANCADA DE ARDÓSIA M²...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,377071,BANCADA DE AJUSTADOR DC 761,BANCADA DE ARDÓSIA M²,36.6%,1980-08-31 00:00:00,MANTER: Baixa similaridade (36.6%) com consumível 'BANCADA DE ARDÓSIA M²...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,415777,ARMARIO PARA FRESADORA DC-806,ARMÁRIO PARA IMPRESSORAS - SEDE,35.7%,1981-02-28 00:00:00,MANTER: Baixa similaridade (35.7%) com consumível 'ARMÁRIO PARA IMPRESSORAS - SEDE...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,437287,ARMARIO P/RETIFICADORA DC-813,PLACA RETIFICADORA,36.6%,1982-07-31 00:00:00,MANTER: Baixa similaridade (36.6%) com consumível 'PLACA RETIFICADORA...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,437288,ARMARIO P/RETIFICADORA DC-813,PLACA RETIFICADORA,36.6%,1982-07-31 00:00:00,MANTER: Baixa similaridade (36.6%) com consumível 'PLACA RETIFICADORA...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,477791,MESA DE SENO 220X160,MESA DE REUNIÃO 2000X1000MM,35.7%,1987-05-31 00:00:00,MANTER: Baixa similaridade (35.7%) com consumível 'MESA DE REUNIÃO 2000X1000MM...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,518599,ARMARIO ACO P/FERRAMENTAS S BLANES,ARMÁRIO P/FERRAMENTAS DC-1674,49.9%,1989-11-30 00:00:00,AVALIAR: Similaridade moderada (49.9%) com consumível 'ARMÁRIO P/FERRAMENTAS DC-1674...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,377049,ARMARIO PARA RETIFICADORA DC 813,PLACA RETIFICADORA,35.5%,1980-08-31 00:00:00,MANTER: Baixa similaridade (35.5%) com consumível 'PLACA RETIFICADORA...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,183615,BANCADA DE FERRAMENTEIRO DC 604,BANCADA PARA FERRAMENTEIRO DC-1884,59.9%,1968-01-01 00:00:00,AVALIAR: Similaridade moderada (59.9%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,183618,BANCADA DE FERRAMENTEIRO DC 604,BANCADA PARA FERRAMENTEIRO DC-1884,59.9%,1968-01-01 00:00:00,AVALIAR: Similaridade moderada (59.9%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,183619,BANCADA DE FERRAMENTEIRO DC 604,BANCADA PARA FERRAMENTEIRO DC-1884,59.9%,1968-01-01 00:00:00,AVALIAR: Similaridade moderada (59.9%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,183620,BANCADA DE FERRAMENTEIRO DC 604,BANCADA PARA FERRAMENTEIRO DC-1884,59.9%,1968-01-01 00:00:00,AVALIAR: Similaridade moderada (59.9%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,183622,BANCADA DE FERRAMENTEIRO DC 604,BANCADA PARA FERRAMENTEIRO DC-1884,59.9%,1968-01-01 00:00:00,AVALIAR: Similaridade moderada (59.9%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,183627,BANCADA DE FERRAMENTEIRO DC 604,BANCADA PARA FERRAMENTEIRO DC-1884,59.9%,1968-01-01 00:00:00,AVALIAR: Similaridade moderada (59.9%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,331501,BANCADA DE FERRAMENTEIRO DC - 863,BANCADA PARA FERRAMENTEIRO DC-1884,59.9%,1978-03-31 00:00:00,AVALIAR: Similaridade moderada (59.9%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,332800,BANCADA P/FERRAMENTEIRO DC 863,BANCADA PARA FERRAMENTEIRO DC-1884,61.3%,1978-03-31 00:00:00,RECLASSIFICAR: Alta similaridade (61.3%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.06 VILA LEOPOLDINA,374144,BANCADA P/MAQ.LIMAR DC 884,BANCADA EM L BIOQUÍMICA DC-2049,31.7%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.7%) com consumível 'BANCADA EM L BIOQUÍMICA DC-2049...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374587,BANCO P/CARTEIRA DE DESENHO A-2421,CARTEIRA P/OBESO,29.6%,1980-07-31 00:00:00,MANTER: Similaridade muito baixa (29.6%). Mantém como patrimônio.
1.06 VILA LEOPOLDINA,374607,BANCO P/CARTEIRA DE DESENHO A-2421,CARTEIRA P/OBESO,29.6%,1980-07-31 00:00:00,MANTER: Similaridade muito baixa (29.6%). Mantém como patrimônio.
1.06 VILA LEOPOLDINA,376531,BANCADA P/FERRAMENTEIRO DC-863,BANCADA PARA FERRAMENTEIRO DC-1884,61.3%,1980-07-31 00:00:00,RECLASSIFICAR: Alta similaridade (61.3%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.06 VILA LEOPOLDINA,376540,BANCADA P/FERRAMENTEIRO DC 863,BANCADA PARA FERRAMENTEIRO DC-1884,61.3%,1980-07-31 00:00:00,RECLASSIFICAR: Alta similaridade (61.3%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.06 VILA LEOPOLDINA,376541,BANCADA P/FERRAMENTEIRO DC 863,BANCADA PARA FERRAMENTEIRO DC-1884,61.3%,1980-07-31 00:00:00,RECLASSIFICAR: Alta similaridade (61.3%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.06 VILA LEOPOLDINA,376543,BANCADA P/FERRAMENTEIRO DC 863,BANCADA PARA FERRAMENTEIRO DC-1884,61.3%,1980-07-31 00:00:00,RECLASSIFICAR: Alta similaridade (61.3%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.06 VILA LEOPOLDINA,376545,BANCADA P/FERRAMENTEIRO DC 863,BANCADA PARA FERRAMENTEIRO DC-1884,61.3%,1980-07-31 00:00:00,RECLASSIFICAR: Alta similaridade (61.3%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.06 VILA LEOPOLDINA,376548,BANCADA P/FERRAMENTEIRO DC 863,BANCADA PARA FERRAMENTEIRO DC-1884,61.3%,1980-07-31 00:00:00,RECLASSIFICAR: Alta similaridade (61.3%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.06 VILA LEOPOLDINA,376549,BANCADA P/FERRAMENTEIRO DC 863,BANCADA PARA FERRAMENTEIRO DC-1884,61.3%,1980-07-31 00:00:00,RECLASSIFICAR: Alta similaridade (61.3%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.06 VILA LEOPOLDINA,376550,BANCADA P/FERRAMENTEIRO DC 863,BANCADA PARA FERRAMENTEIRO DC-1884,61.3%,1980-07-31 00:00:00,RECLASSIFICAR: Alta similaridade (61.3%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.06 VILA LEOPOLDINA,376660,BANCADA P/PRENSA MANUAL DC 647,TORNEIRA BANCADA C/ACION.MANUAL E FECHO,36.5%,1980-07-31 00:00:00,MANTER: Baixa similaridade (36.5%) com consumível 'TORNEIRA BANCADA C/ACION.MANUAL E FECHO...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,376985,MESA PARA DESEMPENO DC 678,MESA PARA MODELAGEM DC-1629,35.5%,1980-08-31 00:00:00,MANTER: Baixa similaridade (35.5%) com consumível 'MESA PARA MODELAGEM DC-1629...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,376661,BANCADA P/PRENSA MANUAL DC 647,TORNEIRA BANCADA C/ACION.MANUAL E FECHO,36.5%,1980-07-31 00:00:00,MANTER: Baixa similaridade (36.5%) com consumível 'TORNEIRA BANCADA C/ACION.MANUAL E FECHO...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,376662,QUADRO DE ACRILICO P/METROLOGIA,QUADRO DE AVISO A4 ACRÍLICO 21X29cm,46.2%,1980-07-31 00:00:00,AVALIAR: Similaridade moderada (46.2%) com consumível 'QUADRO DE AVISO A4 ACRÍLICO 21X29cm...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,377047,ARMARIO PARA RETIFICADORA DC 813,PLACA RETIFICADORA,35.5%,1980-08-31 00:00:00,MANTER: Baixa similaridade (35.5%) com consumível 'PLACA RETIFICADORA...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,437295,ARMARIO P/FRESADORAS DC-806,ARMÁRIO P/FERRAMENTAS DC-1674,35.4%,1982-07-31 00:00:00,MANTER: Baixa similaridade (35.4%) com consumível 'ARMÁRIO P/FERRAMENTAS DC-1674...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374511,BANCO P/SOLDADORES ALT.REGULAVEL DC 889,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374513,BANCO P/SOLDADORES ALT.REGULAVEL DC 889,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374515,BANCO P/SOLDADORES ALT.REGULAVEL DC 889,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374517,BANCO P/SOLDADORES ALT.REGULAVEL DC 889,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374519,BANCO P/SOLDADORES ALT.REGULAVEL DC 889,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374520,BANCO P/SOLDADORES ALT.REGULAVEL DC 889,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374521,BANCO P/SOLDADORES ALT.REGULAVEL DC 889,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374525,BANCO P/SOLDADORES ALT.REGULAVEL DC 889,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374526,BANCO P/SOLDADORES ALT.REGULAVEL DC 889,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374527,BANCO P/SOLDADORES ALT.REGULAVEL DC 889,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374529,BANCO P/SOLDADORES ALT.REGULAVEL DC 889,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374530,BANCO P/SOLDADORES ALT.REGULAVEL DC 889,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374531,BANCO P/SOLDADORES ALT.REGULAVEL DC 889,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374536,BANCO P/SOLDADORES ALT.REGULAVEL DC 889,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,374540,BANCO P/SOLDADORES ALT.REGULAVEL DC 889,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1980-07-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.06 VILA LEOPOLDINA,377004,MESA P/SOLDA OXIACETILENICA DC 886,MAÇARICO P/SOLDA OXIACETILÊNICA,51.1%,1980-08-31 00:00:00,AVALIAR: Similaridade moderada (51.1%) com consumível 'MAÇARICO P/SOLDA OXIACETILÊNICA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,377007,MESA P/SOLDA OXIACETILENICA DC 886,MAÇARICO P/SOLDA OXIACETILÊNICA,51.1%,1980-08-31 00:00:00,AVALIAR: Similaridade moderada (51.1%) com consumível 'MAÇARICO P/SOLDA OXIACETILÊNICA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,377008,MESA P/SOLDA OXIACETILENICA DC 886,MAÇARICO P/SOLDA OXIACETILÊNICA,51.1%,1980-08-31 00:00:00,AVALIAR: Similaridade moderada (51.1%) com consumível 'MAÇARICO P/SOLDA OXIACETILÊNICA...'. Possível reclassificação.
1.06 VILA LEOPOLDINA,377088,MESA P/SOLDA ELETR.C/ARMARIO DC 1121,MESA P/SOLDA C/ARMÁRIO DC-1121 CINZA,71.7%,1980-08-31 00:00:00,RECLASSIFICAR: Alta similaridade (71.7%) com consumível 'MESA P/SOLDA C/ARMÁRIO DC-1121 CINZA...'. Forte indicação de má classificação.
1.06 VILA LEOPOLDINA,648035,MESA P/SOLDA ELETRICA C/ARMARIO DC 1121,MESA P/SOLDA C/ARMÁRIO DC-1121 CINZA,70.7%,1998-12-31 00:00:00,RECLASSIFICAR: Alta similaridade (70.7%) com consumível 'MESA P/SOLDA C/ARMÁRIO DC-1121 CINZA...'. Forte indicação de má classificação.
1.06 VILA LEOPOLDINA,648036,MESA P/SOLDA ELETRICA C/ARMARIO DC 1121,MESA P/SOLDA C/ARMÁRIO DC-1121 CINZA,70.7%,1998-12-31 00:00:00,RECLASSIFICAR: Alta similaridade (70.7%) com consumível 'MESA P/SOLDA C/ARMÁRIO DC-1121 CINZA...'. Forte indicação de má classificação.
1.06 VILA LEOPOLDINA,648037,MESA P/SOLDA ELETRICA C/ARMARIO DC 1121,MESA P/SOLDA C/ARMÁRIO DC-1121 CINZA,70.7%,1998-12-31 00:00:00,RECLASSIFICAR: Alta similaridade (70.7%) com consumível 'MESA P/SOLDA C/ARMÁRIO DC-1121 CINZA...'. Forte indicação de má classificação.
1.06 VILA LEOPOLDINA,648038,MESA P/SOLDA ELETRICA C/ARMARIO DC 1121,MESA P/SOLDA C/ARMÁRIO DC-1121 CINZA,70.7%,1998-12-31 00:00:00,RECLASSIFICAR: Alta similaridade (70.7%) com consumível 'MESA P/SOLDA C/ARMÁRIO DC-1121 CINZA...'. Forte indicação de má classificação.
1.06 VILA LEOPOLDINA,648039,MESA P/SOLDA ELETRICA C/ARMARIO DC 1121,MESA P/SOLDA C/ARMÁRIO DC-1121 CINZA,70.7%,1998-12-31 00:00:00,RECLASSIFICAR: Alta similaridade (70.7%) com consumível 'MESA P/SOLDA C/ARMÁRIO DC-1121 CINZA...'. Forte indicação de má classificação.
